corpus,Titulo,Puntaje
hoy probe mire (porque pude comerlo) peor rocoto relleno vida sorpresa siempre pido platos tanta calidad lastima,Pésimo rocoto relleno ,10
familia cenar tanta lacomar lima ubicaron mesa vista mar pedimos pastel choclo lomo salteado tallarines pisco sour postre delicioso precios justos avla comida buen mas,Restaurantes de Gastón,50
probe piqueo papa huancaina causa papa rellena pastel choclo anticucho postres suspiro limeno lucmita delicioso!,Riquisimo todo!,50
encontraba familia caminando san isidro antojo postre pasar restaurante ingresar manager acomodo mala gana ensenaron pocos postres escoger solo colocaron cuchara mas,Decepcionante,10
tanta lugar encontraras poca variedad platos agradable ouedes perderte pastel choclo lugsres mas gusta menestron buenisumo debe ser quinua airport chsufa mas,No puedes dejar de visitar,50
asado tira pasta milanesa sancochado bien chaufa quinua tortilla huevo sorprendio !,Sabor casero ! ,40
excelente sitio degustar comida mas parecido casera toque especial da gaston buen ambiente platos bien servidos atencion primera ideal disfrutar amigos familia,"Excelente sitio para degustar una comida lo mas parecido a la casera, con su toque especial que da Gastón",50
parecio mejor comida peru wue probado ultima visita anos atras solo platos principales dioos chicha morada deliciosa hablar postres unico malo siempre lleno mas,Dios que rico todo,40
sucursal san isidro mejor aunque comido bien jockey plaza larcomar lomo saltado ceviche tamals opciones excelentes; postres buen restaurante,Muy buena opción,50
comida peruana variada deliciosa excelente atencion buenos precios diversos limonada tambien tienda,Buenazo,40
buscando lugar rico desayunar viejo (papa) llegamos tanta ubicacion inmejorable media cuadra olivar san isidro local agradable atencion esmerada comida estupenda hijo tomo jugo espectacular chirimoya platano naranja par mas,Dia del Padre,50
llegamos previa reserva habia espacio comimos rico personal amable atencion demora platos porte normal bueno puede salir caminar barrio despues cenar mas,A cenar un jueves en la noche,50
comida super buena atencion tambien platos riquisimos precios acuerdo calidad,Excelente,50
buena opcion san isidro aunque zonas comida buena atencion super correcta marido dos hojo anos dieron pintar cosa plus mas,Sencillo y rápido,40
lugar bonito fresco bien atendidos sobretodo cantidad personal comida exquisita gustos lomo saltado planeta recomiendo %,Espectacularmente bueno!,50
basica principalmente denominada comida criolla peruana tambien carta comida internacional postres merecen mencion especial; excelentes detras cocinas direccion conocido chef peruano gaston postres esposa astrid,excelente relacion calidad precio.,50
entras pequeno lugar sientes rodeado amigos fin semana panorama familiar semana lugar reuniones personal amable comida mejor!!!!!,Lo mejor en San Isidro,40
restaurante ingresas vas bueno comida servicio limpieza etc dificil encontrar lugares asi tanta recomendable,RICA COMIDA,40
rica comida servicio excelencia atencion hija permitio comer tranquilo agradece,Exquisito comida y excelente servicio,40
plato preferido bueno atencion buena conocemos mas anos recomendado,aji de gallina,50
menu intelligente comida peruana rico cuesta elegir diferentes sabores atencion rapida platos abundantes barato platos combinacion sabores valen,excelente restaurante de la nueva comida peruana,40
familiares extranjeros comer especialmente lomo saltado debe peores lima empanada aji gallina parecia alcachofas rocoto relleno brillo ausencia ceviche solo msg postres devolver,"Mucho ruido, pocas nueces",10
comida buena sobretodo ceciche lomo saltado postres realmente cosa ponerle pega aire acondicionado altisimo hacia sentar incomodo,Tanta es siempre una buena opcion ,40
lindo lugar ambiente informal acogedor carta variada buena relacion precio calidad cantidad,Bueno,40
esperar logico domingo hora almuerzo!!! aprox mins adentro rico atencion buena,Los domingos se llena!!,50
recetas cocina peruana innovaciones solo chef gaston acurio pudo ocurrir platillos locales bebidas tradicionales combinan estupendamente ambiente calido conjuga manera sorprendente variedad carta,Innovación!,40
pedi lomo saltado termino medio bueno jugo pedi desabrido pedi cambien gusto trajeron bueno,Muy rico,50
causushis sabor diferente gastronomia inigualable deleitate platillo especial unico complemento; servicio excelente personal,Tanta - Excelente elección ,50
rico buena atencion variedad platos dentro carta chilcanos refrescantes bien preparados piqueos compartir entrada generosos recomendado!,Cantidad y calidad,50
restaurante reconocido comida peruana latina expende marcado acento internacional mayoria platos muestran sazon delicadeza pesar generosidad porciones calidad platos ameritan costo mas,No todo lo que brilla es oro,40
solemos visitar distintos locales tanta platos ricos atencion buena extraordinario bastante agradable buenos insumos hace desayunar encontramos carta desayuno mas variada rico mas,Recomendable,40
restaurant complejo lacomar buen ambiente comida rica postres bien logrados bien atendido,muy bueno,50
