Elevation,Aspect,Slope,pitagoras,Horizontal_Distance_To_Roadways,Wilderness_Area_Type,Soil_Type,Cover_Type
2596,51,3.0,258.0,510.0,Wilderness_Area1,Soil_Type29,5
2590,56,2.0,212.08488866489287,390.0,Wilderness_Area1,Soil_Type29,5
2804,139,9.0,275.7698315624826,3180.0,Wilderness_Area1,Soil_Type12,2
2785,155,18.0,269.23595599399425,3090.0,Wilderness_Area1,Soil_Type30,2
2595,45,2.0,153.00326793895613,391.0,Wilderness_Area1,Soil_Type29,5
2579,132,6.0,300.3747659175118,67.0,Wilderness_Area1,Soil_Type29,2
2606,45,7.0,270.04629232781554,633.0,Wilderness_Area1,Soil_Type29,5
2605,49,4.0,234.10467744152402,573.0,Wilderness_Area1,Soil_Type29,5
2617,45,9.0,246.4467488119898,666.0,Wilderness_Area1,Soil_Type29,5
2612,59,10.0,247.24481794367298,636.0,Wilderness_Area1,Soil_Type29,5
2612,201,4.0,187.0855419320264,735.0,Wilderness_Area1,Soil_Type18,5
2886,151,11.0,371.9099353338117,4635.0999999999985,Wilderness_Area1,Soil_Type30,2
2742,134,22.0,165.10905486980417,3215.0,Wilderness_Area1,Soil_Type30,2
2609,214,7.0,156.8948692596415,771.0,Wilderness_Area1,Soil_Type18,5
2503,157,4.0,67.11929677819934,674.0,Wilderness_Area1,Soil_Type18,5
2495,51,7.0,42.04759208325728,752.0,Wilderness_Area1,Soil_Type16,5
2610,259,1.0,120.00416659433121,607.0,Wilderness_Area1,Soil_Type29,5
2517,72,7.0,85.21150157109074,595.0,Wilderness_Area1,Soil_Type18,5
2504,0,4.0,95.13148795220224,691.0,Wilderness_Area1,Soil_Type18,5
2503,38,5.0,85.58621384311844,741.0,Wilderness_Area1,Soil_Type18,5
2501,71,9.0,60.530983801686226,767.0,Wilderness_Area1,Soil_Type18,5
2880,209,17.0,218.07338214463496,4635.0999999999985,Wilderness_Area1,Soil_Type30,2
2768,114,23.0,208.7773934122179,3339.0,Wilderness_Area1,Soil_Type30,5
2511,54,8.0,124.0,638.0,Wilderness_Area1,Soil_Type18,5
2507,22,9.0,120.81390648431164,732.0,Wilderness_Area1,Soil_Type18,5
2492,135,6.0,0.0,860.0,Wilderness_Area1,Soil_Type18,5
2489,163,10.0,30.265491900843113,849.0,Wilderness_Area1,Soil_Type18,5
2962,148,16.0,323.81785003300854,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2811,135,1.0,214.11212016137713,3670.0,Wilderness_Area1,Soil_Type12,2
2739,117,24.0,137.6154061142865,3281.0,Wilderness_Area1,Soil_Type30,5
2703,122,30.0,72.2357252334328,3191.0,Wilderness_Area1,Soil_Type30,5
2522,105,7.0,120.00416659433121,595.0,Wilderness_Area1,Soil_Type18,5
2519,102,6.0,124.06449935416659,616.0,Wilderness_Area1,Soil_Type18,5
2516,23,6.0,150.05332385522155,658.0,Wilderness_Area1,Soil_Type18,5
2515,41,9.0,162.04937519163718,680.0,Wilderness_Area1,Soil_Type18,5
2900,45,19.0,242.82503989498284,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2709,125,28.0,70.83784299369935,3224.0,Wilderness_Area1,Soil_Type30,5
2511,92,7.0,182.8879438344693,722.0,Wilderness_Area1,Soil_Type18,5
2749,98,30.0,134.8517704741024,3316.0,Wilderness_Area1,Soil_Type30,5
2686,354,12.0,0.0,3167.0,Wilderness_Area1,Soil_Type30,5
2699,347,3.0,0.0,2096.0,Wilderness_Area1,Soil_Type20,1
2570,346,2.0,0.0,331.0,Wilderness_Area1,Soil_Type29,2
2533,71,9.0,150.02999700059985,577.0,Wilderness_Area1,Soil_Type18,5
2703,330,27.0,34.48187929913333,3141.0,Wilderness_Area1,Soil_Type16,5
2678,128,5.0,97.74456506629922,1660.0,Wilderness_Area1,Soil_Type12,2
2529,68,8.0,210.05951537600004,666.0,Wilderness_Area1,Soil_Type18,5
2524,94,7.0,212.03773249117714,684.0,Wilderness_Area1,Soil_Type18,5
2536,99,6.0,234.0,659.0,Wilderness_Area1,Soil_Type18,5
2498,66,6.0,95.25754563287887,900.0,Wilderness_Area1,Soil_Type18,5
2489,100,7.0,85.98837130682264,810.0,Wilderness_Area1,Soil_Type18,5
2713,117,30.0,62.36184731067546,3297.0,Wilderness_Area1,Soil_Type30,5
2739,323,25.0,95.25754563287887,3118.0,Wilderness_Area1,Soil_Type29,1
2696,72,2.0,30.0,3271.0,Wilderness_Area1,Soil_Type30,1
2510,79,14.0,192.93781381574738,891.0,Wilderness_Area1,Soil_Type18,5
2502,81,7.0,175.34537347760278,912.0,Wilderness_Area1,Soil_Type18,5
2722,315,24.0,35.510561809129406,3216.0,Wilderness_Area1,Soil_Type16,1
2500,74,11.0,190.21303845951255,930.0,Wilderness_Area1,Soil_Type18,5
2486,68,5.0,180.0444389588304,870.0,Wilderness_Area1,Soil_Type18,5
2489,11,4.0,175.4821928287882,840.0,Wilderness_Area1,Soil_Type18,5
2489,42,6.0,162.5207679036744,810.0,Wilderness_Area1,Soil_Type18,5
2490,75,5.0,135.07405376311175,810.0,Wilderness_Area1,Soil_Type18,5
2952,107,11.0,42.579337712087536,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2705,90,8.0,135.79396157414365,2023.0,Wilderness_Area1,Soil_Type12,2
2507,40,7.0,153.32644912082193,930.0,Wilderness_Area1,Soil_Type18,5
2500,49,14.0,152.41062955056645,870.0,Wilderness_Area1,Soil_Type18,5
2493,63,10.0,128.56515857727553,840.0,Wilderness_Area1,Soil_Type18,5
2509,59,7.0,134.3726162579266,900.0,Wilderness_Area1,Soil_Type18,5
2919,13,13.0,90.19977827023745,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
2740,54,6.0,222.00900882621858,2287.0,Wilderness_Area1,Soil_Type12,2
2640,80,8.0,180.01111076819674,1092.0,Wilderness_Area1,Soil_Type29,2
2843,166,12.0,247.7357463104588,4434.0,Wilderness_Area1,Soil_Type30,2
3008,45,14.0,277.18044664081197,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2893,114,16.0,112.08925015361643,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2850,6,9.0,0.0,4635.0999999999985,Wilderness_Area1,Soil_Type16,2
2628,30,10.0,240.75090861718465,960.0,Wilderness_Area1,Soil_Type29,2
