Category,Rating,Reviews,Installs,Type,Price,Content Rating,Genres,Android Ver
133,1.0,149723,541,Free,0.0,4764,0.7683360994997698,761
219,0.0,853,661,Free,0.0,4764,0.641971939786762,1317
67,1.0,61881,356,Free,0.0,4764,1.1724583225234855,582
508,0.0,21943,356,Free,0.0,4764,0.7576420252797448,381
1114,1.0,6,536,Free,0.0,4764,1.0589649756195516,1317
508,0.0,138,282,Paid,4.99,4764,0.6643798673742102,64
32,1.0,13,536,Free,0.0,4764,0.7265593364087282,846
253,1.0,5,536,Free,0.0,4764,0.5891991219111843,761
1114,1.0,97,623,Free,0.0,4764,0.7398642927642034,761
1114,0.0,79,282,Free,0.0,4764,0.8975992800088385,137
143,1.0,247992,356,Free,0.0,597,0.28880922770617,1317
204,1.0,2,448,Free,0.0,4764,1.1381569055187346,846
581,0.0,47151,356,Free,0.0,189,0.5486016815076877,143
581,0.0,499,623,Paid,3.99,4764,1.0073380058217931,311
1114,1.0,734,623,Free,0.0,4764,0.6214139549383427,761
508,1.0,994,661,Free,0.0,4764,0.5340613726366467,311
204,1.0,260547,356,Free,0.0,4764,0.7420689234772354,582
508,0.0,167,623,Free,0.0,4764,1.0014179567952772,846
581,1.0,531074,541,Free,0.0,4764,0.4829245587475965,582
1114,1.0,198480,356,Free,0.0,4764,0.8890721136574904,1317
219,1.0,2225,661,Free,0.0,4764,0.2980655719170407,846
508,1.0,1648515,114,Free,0.0,4764,1.21113923963247,381
233,1.0,370,308,Free,0.0,4764,0.8049932083141558,761
42,1.0,13,448,Free,0.0,4764,0.5292894609641537,481
508,1.0,410303,541,Free,0.0,4764,1.0120453897677752,582
32,1.0,61,661,Free,0.0,4764,0.39329341961268605,1317
210,1.0,4330,661,Free,0.0,4764,1.0501261389009113,761
219,0.0,242,298,Free,0.0,4764,0.7861922145800812,137
233,1.0,3,237,Free,0.0,4764,0.7343116341213124,1317
1114,1.0,5262,661,Free,0.0,4764,0.6954928661343148,381
581,1.0,3816799,114,Free,0.0,4764,0.9244403559366756,846
94,1.0,193381,116,Free,0.0,597,0.8753722830579274,846
1114,0.0,1419,661,Free,0.0,4764,0.7284510340986488,761
73,0.0,828,661,Free,0.0,4764,0.502668155159493,582
233,0.0,63,282,Free,0.0,4764,0.8921203393278531,137
53,1.0,88185,541,Free,0.0,234,0.2753099831178501,582
170,1.0,130104,541,Free,0.0,4764,1.0871635597949245,311
581,1.0,115176,541,Free,0.0,597,0.7612020731479666,761
143,1.0,66384,841,Free,0.0,597,0.2304500889050193,761
133,1.0,134,623,Free,0.0,4764,0.676385386978591,846
508,1.0,357,841,Free,0.0,4764,0.5784573097167698,846
581,1.0,30630,841,Free,0.0,4764,1.0288715311261671,1317
264,1.0,831,298,Free,0.0,4764,0.5163963021392496,761
1114,1.0,6,536,Free,0.0,4764,0.7525806986921704,1317
233,1.0,1498393,116,Free,0.0,4764,0.7301216125160005,225
508,1.0,29,282,Free,0.0,4764,0.648241862300691,846
581,0.0,103199,541,Free,0.0,597,0.42892023931806506,225
508,0.0,150,298,Free,0.0,4764,0.6926527649558383,1317
195,1.0,15287,841,Free,0.0,4764,0.7306999914853146,846
253,0.0,1838,661,Free,0.0,4764,0.9346828606778632,846
204,1.0,2,448,Free,0.0,4764,0.24323282807988658,1317
143,1.0,1,237,Free,0.0,4764,0.7932909712782501,142
1114,1.0,1111915,114,Free,0.0,4764,0.4572164607957652,1317
