Id,Domicilio,Transporte,TarjetasCredito,Edad,Sexo,Sueldo
1,LimaModerna1,CAMIONETA RURAL,4,57,M,21093
2,LimaModerna1,CAMIONETA RURAL,1,37,M,6880
3,LimaModerna1,CAMIONETA RURAL,1,65,M,850
4,LimaModerna1,CAMIONETA RURAL,5,38,M,65045
5,LimaModerna1,CAMIONETA RURAL,2,56,F,5507
6,LimaModerna1,CAMIONETA RURAL,2,56,F,5507
7,LimaModerna1,CAMIONETA RURAL,4,42,F,3505
8,LimaModerna1,CAMIONETA RURAL,1,60,F,930
9,LimaModerna1,AUTOMOVIL,4,70,F,17585
10,LimaModerna1,AUTOMOVIL,4,42,M,63558
11,LimaModerna1,AUTOMOVIL,2,44,M,15000
12,LimaModerna1,AUTOMOVIL,4,41,M,17156
13,Callao,CAMIONETA PICK UP,1,39,M,1023
14,LimaCentro,AUTOMOVIL,4,58,F,9745
15,LimaCentro,AUTOMOVIL,2,66,F,930
16,LimaModerna1,CAMIONETA RURAL,4,42,M,17473
17,LimaModerna1,CAMIONETA RURAL,5,66,M,4189
18,LimaModerna1,CAMIONETA RURAL,1,41,M,15496
19,LimaModerna1,CAMIONETA RURAL,1,44,M,930
20,LimaModerna1,CAMIONETA RURAL,3,54,M,5552
21,LimaModerna1,AUTOMOVIL,1,85,M,7773
22,LimaModerna1,AUTOMOVIL,2,36,M,930
23,LimaModerna1,AUTOMOVIL,1,42,M,2000
24,LimaModerna1,AUTOMOVIL,2,37,M,930
25,LimaModerna1,AUTOMOVIL,5,35,M,7070
26,LimaModerna1,AUTOMOVIL,1,47,M,3100
27,LimaModerna1,STATION WAGON,4,47,F,3534
28,LimaModerna1,STATION WAGON,3,45,M,8920
29,LimaModerna1,CAMIONETA RURAL,2,38,M,9866
30,LimaModerna1,CAMIONETA RURAL,1,32,M,2000
31,LimaModerna1,CAMIONETA RURAL,1,71,M,2404
32,LimaModerna1,CAMIONETA RURAL,4,43,M,6254
33,LimaNorte,CAMIONETA RURAL,1,46,M,4093
34,LimaNorte,CAMIONETA RURAL,6,50,F,8000
35,LimaNorte,CAMIONETA RURAL,5,49,M,1500
36,LimaNorte,CAMIONETA RURAL,3,32,F,7284
37,LimaNorte,CAMIONETA RURAL,3,29,F,3150
38,LimaCentro,CAMIONETA RURAL,2,54,M,4279
39,LimaCentro,CAMIONETA RURAL,2,54,M,4279
40,LimaModerna2,AUTOMOVIL,1,40,M,1000
41,LimaModerna2,AUTOMOVIL,2,28,M,5412
42,LimaModerna2,AUTOMOVIL,3,49,M,12886
43,LimaModerna2,AUTOMOVIL,1,44,M,4140
