ID,SEXO,EDAD,GRADO_INSTRUCCION,TIPO_CARGO,EXPERIENCIA,GERENCIA,CREDIBILIDAD,RESPETO,IMPARCIALIDAD,ORGULLO,CAMARADERIA,GENERAL,TARGET,SCORE_SENTIMENT
3,Femenino,1.0,5.0,4.0,0.0,Recursos Humanos,5.0,5.0,4.958333333,5.0,5.0,5.0,PROMOTOR,0.7649
8,Masculino,4.0,4.0,4.0,4.0,Recursos Humanos,4.59375,4.8,4.833333333,4.722222222,4.7,5.0,PROMOTOR,0.9045
10,Femenino,2.0,4.0,4.0,0.0,Recursos Humanos,4.625,4.366666667,4.75,4.944444444,4.95,5.0,PROMOTOR,0.5416
16,Masculino,1.0,4.0,3.0,0.0,Recursos Humanos,4.375,4.066666667,4.333333333,4.277777778,4.9,5.0,PROMOTOR,0.6193
17,Femenino,2.0,2.0,3.0,1.0,Recursos Humanos,4.875,4.666666667,4.666666667,4.8888888889999995,5.0,5.0,PROMOTOR,0.4431
21,Femenino,3.0,1.0,0.0,1.0,Recursos Humanos,5.0,4.9,5.0,5.0,4.95,5.0,PROMOTOR,0.8856
25,Femenino,4.0,4.0,4.0,4.0,Gerencia General,4.4375,4.333333333,4.166666667,4.5,4.2,5.0,PROMOTOR,0.3816
29,Masculino,4.0,4.0,4.0,3.0,Finanzas,4.9375,4.666666667,5.0,5.0,5.0,5.0,PROMOTOR,0.4956
30,Femenino,2.0,3.0,3.0,0.0,Finanzas,4.84375,4.733333333,4.833333333,4.8888888889999995,5.0,5.0,PROMOTOR,0.4111
32,Masculino,1.0,1.0,0.0,2.0,Finanzas,4.5625,4.4,4.583333333,4.5,4.55,5.0,PROMOTOR,0.1465
33,Masculino,4.0,4.0,4.0,3.0,Finanzas,4.25,4.4,4.5,4.666666667,4.45,5.0,PROMOTOR,0.7454
34,Masculino,4.0,4.0,4.0,3.0,Finanzas,4.40625,4.266666667,4.416666667,4.0,4.5,4.5,PROMOTOR,0.8314
37,Femenino,0.0,4.0,3.0,0.0,Finanzas,3.3125,2.733333333,3.208333333,3.5555555560000003,3.55,3.0,DETRACTOR,0.2613
38,Femenino,2.0,5.0,4.0,1.0,Finanzas,4.375,4.333333333,4.666666667,4.166666667,4.4,4.0,PROMOTOR,0.14
43,Femenino,2.0,4.0,3.0,2.0,Finanzas,2.625,2.6,2.583333333,3.333333333,3.55,3.0,DETRACTOR,0.1578
44,Femenino,1.0,3.0,3.0,1.0,Finanzas,2.09375,2.266666667,1.875,3.222222222,2.65,4.0,DETRACTOR,0.0051
46,Femenino,2.0,4.0,3.0,1.0,Finanzas,3.3125,3.166666667,2.708333333,3.333333333,3.45,3.0,DETRACTOR,0.0692
50,Masculino,1.0,2.0,0.0,1.0,Finanzas,4.5625,4.666666667,4.5,4.722222222,4.7,5.0,PROMOTOR,0.3456
51,Femenino,4.0,1.0,0.0,5.0,Finanzas,3.375,3.333333333,3.0,3.5,4.0,4.0,DETRACTOR,0.0824
53,Masculino,1.0,1.0,0.0,1.0,Finanzas,4.25,4.566666667,4.125,4.555555556,4.45,4.0,PROMOTOR,0.4452
54,Masculino,1.0,0.0,0.0,1.0,Finanzas,4.28125,4.4,4.208333333,4.6111111110000005,4.75,5.0,PROMOTOR,0.5936
56,Masculino,1.0,3.0,0.0,0.0,Finanzas,4.09375,4.4,4.166666667,4.5,4.65,5.0,PROMOTOR,0.7159
58,Masculino,1.0,0.0,0.0,1.0,Finanzas,4.59375,4.366666667,4.208333333,4.833333333,4.7,5.0,PROMOTOR,0.8778
59,Masculino,1.0,3.0,4.0,2.0,Finanzas,4.84375,4.966666667,4.916666667,5.0,5.0,5.0,PROMOTOR,0.2145
61,Masculino,2.0,1.0,3.0,2.0,Finanzas,4.6875,4.9,4.541666667,4.722222222,4.9,5.0,PROMOTOR,0.5752
62,Masculino,2.0,2.0,3.0,3.0,Finanzas,4.5625,4.666666667,4.583333333,4.8888888889999995,4.8,5.0,PROMOTOR,0.7838
66,Masculino,2.0,1.0,4.0,3.0,Alimentos y Bebidas,4.5625,4.733333333,4.708333333,4.722222222,4.8,5.0,PROMOTOR,0.1877
68,Femenino,1.0,4.0,0.0,0.0,Alimentos y Bebidas,4.59375,4.666666667,4.375,4.666666667,4.6,4.5,PROMOTOR,0.3575
69,Femenino,1.0,1.0,0.0,1.0,Alimentos y Bebidas,2.25,2.633333333,2.0,3.222222222,2.7,1.5,DETRACTOR,0.0227
72,Masculino,1.0,2.0,1.0,0.0,Alimentos y Bebidas,3.3125,2.8,3.208333333,3.833333333,3.3,4.0,DETRACTOR,0.2838
73,Masculino,0.0,1.0,0.0,0.0,Alimentos y Bebidas,4.1875,4.6,4.041666667,4.277777778,4.05,4.0,PROMOTOR,0.3866
75,Masculino,1.0,0.0,0.0,0.0,Alimentos y Bebidas,4.09375,4.166666667,3.708333333,4.0,4.4,5.0,PROMOTOR,0.9475
76,Masculino,2.0,1.0,1.0,1.0,Alimentos y Bebidas,1.9375,2.066666667,2.458333333,3.222222222,2.8,2.5,DETRACTOR,0.6222
77,Masculino,1.0,2.0,1.0,1.0,Alimentos y Bebidas,3.40625,3.1,3.083333333,3.5,3.8,3.0,DETRACTOR,0.0434
78,Femenino,2.0,2.0,4.0,1.0,Alimentos y Bebidas,1.625,2.266666667,2.333333333,1.6666666669999999,2.8,1.0,DETRACTOR,0.0088
79,Femenino,2.0,4.0,4.0,0.0,Alimentos y Bebidas,2.8125,2.566666667,2.666666667,3.5,3.1,4.0,DETRACTOR,0.4529
81,Masculino,4.0,0.0,0.0,0.0,Alimentos y Bebidas,4.5,4.5,4.5,4.5,4.5,4.5,PROMOTOR,0.9429
82,Masculino,2.0,1.0,0.0,0.0,Alimentos y Bebidas,4.65625,4.533333333,4.291666667,4.666666667,4.75,5.0,PROMOTOR,0.0372
