DIAS_COMPRANDO,DEVOLUCIONES,TRX_TV,TRX_TF,VALOR_TOTAL,CONTRI,TRX_CON_TR,TRX_CON_EFX,TRX_CON_OTB,FREC_DIARIA,GENERO,EDAD,SEGMENTO,TIENE_TR,SEGMENTO_RFM,NUM_CATEGORIAS,TRX_BLANDOS,TRX_HOME,TRX_PROPIAS,TRX_TERCERAS,TRX_ANTES_5PM,TRX_DESPUES_5PM,TRX_DSCTO,TRX_LUN_JUE,TRX_VIE_DOM,TRX_NAVIDAD,TRX_MAMA,TRX_PAPA,TRX_CYBERS,TRX_DDS,TRX_BTS,TRX_LIQ01,TRX_LIQ02,TRX_CUPONES,UNID_PROD,FR_TIENDA_FAVORITA,TIENDA_FAVORITA,DESV_TICKET,CATEGORIA_FAVORITA,CONTACTABILIDAD,CONSENTIMIENTO,PERIODO_RETENCION,CHURN,valor_total_discreto,devoluciones_discreto,Retencion_range,freq_trx_retencion,prom_valor_por_trx,prom_valor_retencion,var,TRX_PAPA+TRX_CYBERS+TRX_BTS+TRX_NAVIDAD,TRX_CYBERS+TRX_BTS+TRX_NAVIDAD+TRX_LIQ02,TRX_MAMA+TRX_PAPA+TRX_CYBERS+TRX_NAVIDAD,TRX_MAMA+TRX_CYBERS+TRX_NAVIDAD+TRX_LIQ01,TRX_PAPA+TRX_CYBERS+TRX_BTS+TRX_LIQ02,TRX_PAPA+TRX_CYBERS+TRX_NAVIDAD+TRX_LIQ02,TRX_MAMA+TRX_PAPA+TRX_CYBERS+TRX_BTS,TRX_MAMA+TRX_PAPA+TRX_CYBERS+TRX_DDS,TRX_MAMA+TRX_CYBERS+TRX_DDS+TRX_LIQ01,TRX_MAMA+TRX_CYBERS+TRX_NAVIDAD+TRX_LIQ02,TRX_MAMA+TRX_CYBERS+TRX_BTS+TRX_LIQ02,TRX_PAPA+TRX_CYBERS+TRX_DDS+TRX_LIQ01,TRX_MAMA+TRX_CYBERS+TRX_DDS+TRX_NAVIDAD,TRX_MAMA+TRX_CYBERS+TRX_BTS+TRX_NAVIDAD,TRX_PAPA+TRX_CYBERS+TRX_DDS+TRX_NAVIDAD,TRX_MAMA+TRX_CYBERS+TRX_DDS+TRX_BTS,dummy_usan_dscto,discr_trx_dscto,discr_valor_total,discr_contri,sin_tda,devolvio,afiliado,trans_log,ticket_prom_log,suma_compras_log,consentimiento_nulo,edad_nulo,genero_nulo
2,0,0.0,1.0,253.7288,89.1,0.0,0.0,1.0,49.5,M,50.0,,NO,R3. HABITUAL,3,5.0,0.0,0.0,5.0,0.0,1.0,0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,5.0,0.0,SIN TDA,25.52,HOMBRE,NO,NO,99.0,0.0,up_int,no_dev,81-108,0.0202,126.9,1.281,1.281,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,1.0,0.5,0.5,1,0-1,200-250,0-50,1,0,1,1.099,4.85,1.099,1,0,0
1,0,0.0,1.0,59.23729,24.8,0.0,1.0,0.0,253.0,,,PABLOMART,NO,R5. NO FIEL,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,PIURA I,0.0,MUJER,NO,NO,0.0,0.0,bajo,no_dev,<27,0.0,59.25,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,<50,-50-0,0,0,0,0.6934,4.098,0.6934,1,1,1
26,3,0.03125,1.0625,5020.7373,842.5,0.6875,0.125,0.0,12.81,F,63.0,SILVER,SI,R1. ELITE,8,2.281,0.25,0.125,1.4375,0.5,0.5938,0.5,0.4688,0.625,0.09375,0.25,0.09375,0.2188,0.03125,0.125,0.0625,0.03125,0.625,2.438,31.0,CHORRILLOS,250.2,MUJER,SI,SI,333.0,0.0,muy_alto,muy bajo,324-351,0.1051,143.5,0.4307,0.4712,0.5312,0.4688,0.6562,0.625,0.4688,0.4375,0.6875,0.5938,0.5625,0.5938,0.625,0.4062,0.5938,0.6875,0.4375,0.625,1,1-10,2800-3500,550-650,0,1,1,3.4960000000000004,5.062,3.4,0,0,0
5,0,0.0,1.0,328.55933,104.1,0.0,0.6,0.4,29.8,F,50.0,PABLOMART,NO,R3. HABITUAL,4,1.0,0.0,0.4,0.6,0.0,1.0,0.0,0.6,0.4,0.0,0.0,0.2,0.2,0.0,0.6,0.0,0.0,0.4,1.0,3.0,SAN BORJA,62.94,CALZADO,NO,NO,149.0,0.0,alto,no_dev,135-162,0.03357,65.7,0.441,0.441,1.0,0.8,0.4,0.2,1.0,0.4,1.0,0.4,0.2,0.2,0.8,0.4,0.2,0.8,0.4,0.8,0,0,200-250,50-100,0,0,1,1.7919999999999998,4.2,1.7919999999999998,1,0,0
1,0,0.0,1.0,2312.6272,323.2,0.0,1.0,0.0,201.0,F,49.0,PABLOMART,NO,R3. HABITUAL,1,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,JOCKEY PLAZA,0.0,ELECTROHOGAR,NO,NO,0.0,1.0,muy_alto,no_dev,<27,0.0,2312.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,1700-2100,200-250,0,0,1,0.6934,7.746,0.6934,1,0,0
1,0,0.0,1.0,33.813559999999995,16.38,0.0,1.0,0.0,267.0,M,57.0,PABLOMART,NO,R5. NO FIEL,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,SALAVERRY,0.0,MUJER,NO,NO,0.0,1.0,muy bajo,no_dev,<27,0.0,33.8,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,None,-50-0,0,0,1,0.6934,3.55,0.6934,1,0,0
1,0,0.0,1.0,54.661015,21.38,0.0,0.0,1.0,232.0,M,49.0,PABLOMART,SI,R5. NO FIEL,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,BRASIL (LA RAMBLA),0.0,INFANTIL,SI,SI,0.0,0.0,bajo,no_dev,<27,0.0,54.66,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,<50,-50-0,0,0,1,0.6934,4.02,0.6934,0,0,0
1,0,0.0,1.0,109.32204,19.69,0.0,1.0,0.0,103.0,M,48.0,PABLOMART,NO,R4. OCASIONAL,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,JULIACA,0.0,ELECTROHOGAR,NO,NO,0.0,1.0,low_int,no_dev,<27,0.0,109.3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0,50-100,-50-0,0,0,1,0.6934,4.703,0.6934,1,0,0
3,0,0.0,1.0,421.61017,140.0,0.0,0.0,1.0,74.3,M,56.0,PABLOMART,NO,R2. PREMIUM,1,1.0,0.0,0.0,1.0,0.3333,0.6665,0.0,0.0,1.0,0.6665,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,SAN BORJA,71.8,CALZADO,SI,NO,223.0,0.0,alto,no_dev,216-243,0.01345,140.5,0.6304,0.6304,1.0,1.0,1.0,1.0,0.3333,1.0,0.3333,0.3333,0.3333,1.0,0.3333,0.3333,1.0,1.0,1.0,0.3333,0,0,250-350,50-100,0,0,1,1.3869999999999998,4.953,1.3869999999999998,0,0,0
1,0,0.0,1.0,143.22034,-1.78,0.0,0.0,1.0,336.0,M,68.0,PABLOMART,NO,R4. OCASIONAL,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,SAN MIGUEL,0.0,CALZADO,SI,SI,0.0,0.0,up_int,no_dev,<27,0.0,143.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,50-100,-400--50,0,0,1,0.6934,4.973,0.6934,0,0,0
3,0,0.0,1.0,109.067795,8.37,0.0,0.3333,0.6665,46.34,M,54.0,PABLOMART,NO,R4. OCASIONAL,3,1.3330000000000002,0.0,0.3333,0.6665,0.3333,0.6665,0.0,0.3333,0.6665,0.0,0.0,0.0,0.6665,0.0,0.3333,0.0,0.0,0.0,1.3330000000000002,1.0,SAN MIGUEL,14.28,DEPORTES,NO,NO,139.0,1.0,low_int,no_dev,135-162,0.02158,36.34,0.2615,0.2615,1.0,1.0,0.6665,0.6665,1.0,0.6665,1.0,0.6665,0.6665,0.6665,1.0,0.6665,0.6665,1.0,0.6665,1.0,0,0,50-100,-50-0,0,0,1,1.3869999999999998,3.621,1.3869999999999998,1,0,0
17,2,0.0,1.117,1628.178,684.5,0.8237,0.0,0.05884,19.53,F,68.0,BRONZE,SI,R2. PREMIUM,7,2.295,0.2942,0.647,1.235,0.5293,0.5884,0.4119,0.8237,0.2942,0.1177,0.1177,0.1765,0.1765,0.05884,0.1765,0.0,0.1177,1.0,2.354,0.0,SIN TDA,40.12,MUJER,SI,SI,332.0,0.0,muy_alto,muy bajo,324-351,0.057220000000000014,85.7,0.258,0.2886,0.647,0.5884,0.5884,0.4119,0.647,0.5884,0.647,0.5293,0.353,0.5293,0.5884,0.4119,0.4707,0.5884,0.5293,0.5293,1,0-1,1300-1500,550-650,1,1,1,2.89,4.574,2.834,0,0,0
1,0,0.0,1.0,236.35593,86.75,0.0,1.0,0.0,0.0,F,57.0,,SI,R3. HABITUAL,2,1.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,SIN TDA,0.0,BELLEZA,SI,NO,0.0,1.0,up_int,no_dev,<27,0.0,118.2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,150-200,0-50,1,0,1,1.099,4.78,1.099,1,0,0
